Date,"Spend (Cost, Amount Spent)",Action Link Clicks,Impressions,Action Leads,Ad ID,Ad Name,Instagram Permalink URL,Adset Name,Campaign ID,Campaign Name,Action Landing Page View,Action Video View,Video 15 Sec Watched Actions,Video 50 Percent Watched Actions,Video 75 Percent Watched Actions,Video 95 Percent Watched Actions
2026-06-04,"193,77",15,1622,4,120247257828330229,tmb_abr26-lead-adi12,https://www.instagram.com/p/DYuzv6IAF7i/,lead-aberta,120247257827500229,perpetuo-lead-frio-aberta-mql_300k-leva_03,7,0,0,0,0,0
2026-06-04,"264,82",43,4783,4,120245545954430229,tmb_jan26-lead-adv11-nova_pg,https://www.instagram.com/p/DXpWdIaAAFg/,lead-aberta,120245545954440229,perpetuo-lead-frio-aberta-mql_300k,27,359,100,199,136,107
2026-06-04,"294,42",50,4829,3,120243515722440229,tmb_out23-lead-boleto-adv01-3-nova_pg,https://www.instagram.com/p/DWQCpBEAKw5/,drop-30_44,120243514966280229,perpetuo-lead-frio-drop-mista-nova_pg,35,1129,200,59,40,23
2026-06-04,"363,81",63,9692,6,120243515653170229,tmb_jan26-lead-adv11-nova_pg,https://www.instagram.com/p/DWQCpLQACA6/,envolvidos_engajados-30_44,120243514966750229,perpetuo-lead-quente-nova_pg,34,753,252,455,324,263
2026-06-04,"787,29",228,28816,15,120243515715860229,tmb_jan26-lead-adv11-nova_pg,https://www.instagram.com/p/DWQCo4HANfS/,lead-aberta,120243514966340229,perpetuo-lead-frio-aberta-nova_pg,150,2171,615,1175,825,642
2026-06-05,"0,01",0,4,0,120244464775330229,tmb_abr26-antecip-lead-adv03,,envolvidos_engajados-30_44,120243514966750229,perpetuo-lead-quente-nova_pg,0,0,0,0,0,0
2026-06-05,"0,03",0,6,0,120244464756580229,Tmb_fev26-lead-adv05,https://www.instagram.com/p/DW7tucWAGQB/,envolvidos_engajados-30_44,120243514966750229,perpetuo-lead-quente-nova_pg,0,1,0,0,0,0
2026-06-05,"0,04",0,3,0,120247257828300229,tmb_mai26-lead-adv14,https://www.instagram.com/p/DYik0toAIhb/,lead-aberta,120247257827500229,perpetuo-lead-frio-aberta-mql_300k-leva_03,0,2,0,0,0,0
2026-06-05,"0,05",0,1,0,120246685162880229,Tmb_fev26-lead-adv08,https://www.instagram.com/p/DYXh89_AMq7/,drop-30_44,120246685162830229,perpetuo-lead-frio-drop-mista-mql_300k,0,1,0,0,0,0
2026-06-05,"0,06",0,3,0,120243515653180229,tmb_mai25-lead-adc11-nova_pg,https://www.instagram.com/p/DWQCoyrAK0w/,envolvidos_engajados-30_44,120243514966750229,perpetuo-lead-quente-nova_pg,0,0,0,0,0,0
